Lat,Lng
33.01025023,-96.48161102
33.01025023,-96.80296436
33.01025023,-96.82081733
33.01025023,-96.83867029
33.01025023,-96.85652325
32.99670839,-96.48161102
32.99670839,-96.76725844
32.99670839,-96.7851114
32.99670839,-96.80296436
32.99670839,-96.82081733
32.99670839,-96.83867029
32.99670839,-96.85652325
32.98316656,-96.48161102
32.98316656,-96.49946398
32.98316656,-96.7851114
32.98316656,-96.80296436
32.98316656,-96.82081733
32.96962472,-96.48161102
32.96962472,-96.49946398
32.96962472,-96.7851114
32.96962472,-96.80296436
32.96962472,-96.82081733
32.95608289,-96.49946398
32.95608289,-96.7851114
32.95608289,-96.80296436
32.95608289,-96.82081733
32.94254105,-96.49946398
32.94254105,-96.51731694
32.94254105,-96.7851114
32.94254105,-96.80296436
32.94254105,-96.82081733
32.94254105,-96.981494
32.92899922,-96.48161102
32.92899922,-96.49946398
32.92899922,-96.71369954
32.92899922,-96.74940547
32.92899922,-96.76725844
32.92899922,-96.7851114
32.92899922,-96.80296436
32.92899922,-96.82081733
32.92899922,-96.981494
32.91545738,-96.48161102
32.91545738,-96.49946398
32.91545738,-96.71369954
32.91545738,-96.73155251
32.91545738,-96.74940547
32.91545738,-96.76725844
32.91545738,-96.7851114
32.91545738,-96.80296436
32.91545738,-96.82081733
32.91545738,-96.83867029
32.91545738,-96.85652325
32.91545738,-96.89222918
32.90191554,-96.48161102
32.90191554,-96.49946398
32.90191554,-96.53516991
32.90191554,-96.69584658
32.90191554,-96.71369954
32.90191554,-96.73155251
32.90191554,-96.74940547
32.90191554,-96.76725844
32.90191554,-96.7851114
32.90191554,-96.80296436
32.90191554,-96.82081733
32.90191554,-96.83867029
32.90191554,-96.85652325
32.90191554,-96.87437622
32.90191554,-96.89222918
32.90191554,-96.91008214
32.88837371,-96.49946398
32.88837371,-96.51731694
32.88837371,-96.5887288
32.88837371,-96.69584658
32.88837371,-96.71369954
32.88837371,-96.73155251
32.88837371,-96.74940547
32.88837371,-96.76725844
32.88837371,-96.7851114
32.88837371,-96.80296436
32.88837371,-96.82081733
32.88837371,-96.83867029
32.88837371,-96.85652325
32.88837371,-96.87437622
32.88837371,-96.89222918
32.88837371,-96.91008214
32.88837371,-96.92793511
32.87483187,-96.48161102
32.87483187,-96.49946398
32.87483187,-96.51731694
32.87483187,-96.53516991
32.87483187,-96.55302287
32.87483187,-96.57087584
32.87483187,-96.69584658
32.87483187,-96.71369954
32.87483187,-96.73155251
32.87483187,-96.74940547
32.87483187,-96.76725844
32.87483187,-96.7851114
32.87483187,-96.80296436
32.87483187,-96.82081733
32.87483187,-96.83867029
32.87483187,-96.85652325
32.87483187,-96.87437622
32.87483187,-96.89222918
32.87483187,-96.91008214
32.87483187,-96.92793511
32.86129004,-96.49946398
32.86129004,-96.51731694
32.86129004,-96.53516991
32.86129004,-96.66014065
32.86129004,-96.67799362
32.86129004,-96.69584658
32.86129004,-96.71369954
32.86129004,-96.73155251
32.86129004,-96.74940547
32.86129004,-96.76725844
32.86129004,-96.82081733
32.86129004,-96.83867029
32.86129004,-96.85652325
32.86129004,-96.87437622
32.86129004,-96.89222918
32.86129004,-96.91008214
32.8477482,-96.49946398
32.8477482,-96.51731694
32.8477482,-96.53516991
32.8477482,-96.64228769
32.8477482,-96.66014065
32.8477482,-96.67799362
32.8477482,-96.69584658
32.8477482,-96.71369954
32.8477482,-96.73155251
32.8477482,-96.74940547
32.8477482,-96.76725844
32.8477482,-96.82081733
32.8477482,-96.83867029
32.8477482,-96.85652325
32.8477482,-96.87437622
32.8477482,-96.89222918
32.83420637,-96.51731694
32.83420637,-96.53516991
32.83420637,-96.55302287
32.83420637,-96.66014065
32.83420637,-96.67799362
32.83420637,-96.69584658
32.83420637,-96.71369954
32.83420637,-96.73155251
32.83420637,-96.74940547
32.83420637,-96.76725844
32.83420637,-96.82081733
32.83420637,-96.83867029
32.83420637,-96.85652325
32.83420637,-96.87437622
32.82066453,-96.49946398
32.82066453,-96.51731694
32.82066453,-96.53516991
32.82066453,-96.67799362
32.82066453,-96.69584658
32.82066453,-96.71369954
32.82066453,-96.73155251
32.82066453,-96.74940547
32.82066453,-96.76725844
32.82066453,-96.7851114
32.82066453,-96.80296436
32.82066453,-96.82081733
32.82066453,-96.83867029
32.82066453,-96.85652325
32.82066453,-96.87437622
32.82066453,-96.89222918
32.8071227,-96.49946398
32.8071227,-96.51731694
32.8071227,-96.67799362
32.8071227,-96.69584658
32.8071227,-96.71369954
32.8071227,-96.73155251
32.8071227,-96.74940547
32.8071227,-96.76725844
32.8071227,-96.7851114
32.8071227,-96.80296436
32.8071227,-96.82081733
32.8071227,-96.83867029
32.8071227,-96.85652325
32.8071227,-96.87437622
32.8071227,-96.89222918
32.79358086,-96.49946398
32.79358086,-96.51731694
32.79358086,-96.69584658
32.79358086,-96.71369954
32.79358086,-96.73155251
32.79358086,-96.74940547
32.79358086,-96.76725844
32.79358086,-96.7851114
32.79358086,-96.80296436
32.79358086,-96.82081733
32.79358086,-96.83867029
32.79358086,-96.85652325
32.79358086,-96.87437622
32.79358086,-96.89222918
32.78003902,-96.49946398
32.78003902,-96.67799362
32.78003902,-96.69584658
32.78003902,-96.71369954
32.78003902,-96.73155251
32.78003902,-96.74940547
32.78003902,-96.76725844
32.78003902,-96.7851114
32.78003902,-96.80296436
32.78003902,-96.82081733
32.78003902,-96.83867029
32.78003902,-96.85652325
32.78003902,-96.87437622
32.78003902,-96.89222918
32.78003902,-96.91008214
32.76649719,-96.66014065
32.76649719,-96.67799362
32.76649719,-96.69584658
32.76649719,-96.71369954
32.76649719,-96.73155251
32.76649719,-96.74940547
32.76649719,-96.76725844
32.76649719,-96.7851114
32.76649719,-96.80296436
32.76649719,-96.82081733
32.76649719,-96.83867029
32.76649719,-96.85652325
32.76649719,-96.87437622
32.76649719,-96.89222918
32.76649719,-96.91008214
32.75295535,-96.64228769
32.75295535,-96.66014065
32.75295535,-96.67799362
32.75295535,-96.69584658
32.75295535,-96.71369954
32.75295535,-96.73155251
32.75295535,-96.74940547
32.75295535,-96.76725844
32.75295535,-96.7851114
32.75295535,-96.80296436
32.75295535,-96.82081733
32.75295535,-96.83867029
32.75295535,-96.85652325
32.75295535,-96.87437622
32.75295535,-96.89222918
32.75295535,-96.91008214
32.73941352,-96.64228769
32.73941352,-96.66014065
32.73941352,-96.67799362
32.73941352,-96.69584658
32.73941352,-96.71369954
32.73941352,-96.73155251
32.73941352,-96.74940547
32.73941352,-96.76725844
32.73941352,-96.7851114
32.73941352,-96.80296436
32.73941352,-96.82081733
32.73941352,-96.83867029
32.73941352,-96.85652325
32.73941352,-96.87437622
32.73941352,-96.91008214
32.73941352,-96.92793511
32.73941352,-96.96364104
32.73941352,-96.981494
32.72587168,-96.64228769
32.72587168,-96.66014065
32.72587168,-96.67799362
32.72587168,-96.69584658
32.72587168,-96.71369954
32.72587168,-96.73155251
32.72587168,-96.74940547
32.72587168,-96.76725844
32.72587168,-96.7851114
32.72587168,-96.80296436
32.72587168,-96.82081733
32.72587168,-96.83867029
32.72587168,-96.85652325
32.72587168,-96.87437622
32.72587168,-96.89222918
32.72587168,-96.91008214
32.72587168,-96.92793511
32.72587168,-96.94578807
32.72587168,-96.96364104
32.71232985,-96.64228769
32.71232985,-96.66014065
32.71232985,-96.67799362
32.71232985,-96.69584658
32.71232985,-96.71369954
32.71232985,-96.73155251
32.71232985,-96.74940547
32.71232985,-96.76725844
32.71232985,-96.7851114
32.71232985,-96.80296436
32.71232985,-96.82081733
32.71232985,-96.83867029
32.71232985,-96.85652325
32.71232985,-96.87437622
32.71232985,-96.89222918
32.71232985,-96.91008214
32.71232985,-96.92793511
32.71232985,-96.94578807
32.71232985,-96.96364104
32.69878801,-96.57087584
32.69878801,-96.5887288
32.69878801,-96.60658176
32.69878801,-96.64228769
32.69878801,-96.66014065
32.69878801,-96.67799362
32.69878801,-96.69584658
32.69878801,-96.71369954
32.69878801,-96.73155251
32.69878801,-96.74940547
32.69878801,-96.76725844
32.69878801,-96.7851114
32.69878801,-96.80296436
32.69878801,-96.82081733
32.69878801,-96.83867029
32.69878801,-96.85652325
32.69878801,-96.87437622
32.69878801,-96.89222918
32.69878801,-96.91008214
32.69878801,-96.92793511
32.69878801,-96.94578807
32.69878801,-96.96364104
32.69878801,-96.981494
32.68524618,-96.57087584
32.68524618,-96.5887288
32.68524618,-96.60658176
32.68524618,-96.62443473
32.68524618,-96.64228769
32.68524618,-96.66014065
32.68524618,-96.67799362
32.68524618,-96.69584658
32.68524618,-96.71369954
32.68524618,-96.73155251
32.68524618,-96.74940547
32.68524618,-96.76725844
32.68524618,-96.7851114
32.68524618,-96.80296436
32.68524618,-96.82081733
32.68524618,-96.83867029
32.68524618,-96.85652325
32.68524618,-96.87437622
32.68524618,-96.89222918
32.68524618,-96.91008214
32.68524618,-96.92793511
32.68524618,-96.94578807
32.68524618,-96.96364104
32.68524618,-96.981494
32.67170434,-96.5887288
32.67170434,-96.60658176
32.67170434,-96.62443473
32.67170434,-96.64228769
32.67170434,-96.66014065
32.67170434,-96.67799362
32.67170434,-96.73155251
32.67170434,-96.74940547
32.67170434,-96.76725844
32.67170434,-96.7851114
32.67170434,-96.80296436
32.67170434,-96.82081733
32.67170434,-96.83867029
32.67170434,-96.85652325
32.67170434,-96.87437622
32.67170434,-96.92793511
32.67170434,-96.94578807
32.67170434,-96.96364104
32.67170434,-96.981494
32.6581625,-96.62443473
32.6581625,-96.64228769
32.6581625,-96.66014065
32.6581625,-96.73155251
32.6581625,-96.74940547
32.6581625,-96.76725844
32.6581625,-96.7851114
32.6581625,-96.80296436
32.6581625,-96.82081733
32.6581625,-96.83867029
32.6581625,-96.85652325
32.6581625,-96.87437622
32.6581625,-96.94578807
32.6581625,-96.96364104
32.6581625,-96.981494
32.64462067,-96.64228769
32.64462067,-96.66014065
32.64462067,-96.74940547
32.64462067,-96.76725844
32.64462067,-96.7851114
32.64462067,-96.82081733
32.64462067,-96.83867029
32.64462067,-96.85652325
32.64462067,-96.87437622
32.64462067,-96.94578807
32.64462067,-96.96364104
32.64462067,-96.981494
32.63107883,-96.73155251
32.63107883,-96.74940547
32.63107883,-96.76725844
32.63107883,-96.94578807
32.63107883,-96.96364104
