1901 Irving Blvd.
4211 Northhaven Road
500 N. Malcolm X Blvd.
816 South Akard Street
2039 St. Augustine Drive
2301 Pennsylvania Ave
6010 Davenport Road
1904 North Garrett Avenue
2002 Cool Mist Lane
4451 Frankford Road
3828 Cedar Springs Road
7520 West Wheatland Road
6902 Frankford Road
1005 West Twelfth Street
111 East Eighth Street
2616 Chalk Hill Road
6045 Belmont Avenue
660 North Griffin Street
5600 East Grand Avenue
12727 Montfort Drive
3210 Love Field Drive
12200 Coit Road
1660 South Corinth Street Road
2426 Elsie Faye Heggins St.
2112 56th Street
3303 Sheldon Avenue
8401 Douglas Avenue
8701 Greenville Avenue
9830 Shadow Way Dallas
11381 Zodiac Lane
9365 Garland Road
4262 N. Jim Miller Rd.
745 West Illinois Avenue
1234 Carbona Drive
3839 Walnut Hill Lane
3241 North Hampton Road
6780 Greenville Avenue
2839 Wilhurt Ave.
2850 Ruidosa Ave
2440 Kirnwood Drive
5920 Royal Lane
3333 West Mockingbird Lane
2844 Lombardy Lane
2025 Lagow St.
716 West Commerce Street
331 East Camp Wisdom Road
7161 Envoy Court
10480 East Northwest Highway
4901 South Hampton Road
841 S. Walton Walker Blvd.
200 South St. Augustine Road
2504 Cockrell Hill Road
1407 John West Rd
6238 Bonnieview Road
6600 Trammel Drive
7040 Belt Line Rd
10801 Audellia Road
3015 Chapel Oaks Dr
