Lat,Lng,Dist to 1st Station (mi),Dist to 2nd Station (mi)
32.91545738019924,-96.89222918114488,1.34,1.52
32.90191554460588,-96.4816110177394,1.38,2.06
32.90191554460588,-96.49946398136574,1.2,2.13
32.90191554460588,-96.5351699086184,0.9,1.84
32.90191554460588,-96.69584658125532,0.63,1.35
32.90191554460588,-96.71369954488164,0.45,0.66
32.90191554460588,-96.73155250850796,0.85,1.28
32.90191554460588,-96.74940547213428,0.47,1.45
32.90191554460588,-96.7672584357606,0.92,0.97
32.90191554460588,-96.78511139938692,,
32.90191554460588,-96.80296436301326,,
32.90191554460588,-96.82081732663958,0.99,1.5
32.90191554460588,-96.83867029026592,,
32.90191554460588,-96.85652325389223,1.09,1.48
32.90191554460588,-96.87437621751856,,
32.90191554460588,-96.89222918114488,,
32.90191554460588,-96.9100821447712,,
32.88837370901252,-96.49946398136574,1.43,1.81
32.88837370901252,-96.51731694499206,0.8,2.8
32.88837370901252,-96.58872879949736,1.35,1.41
32.88837370901252,-96.69584658125532,1.41,1.42
32.88837370901252,-96.71369954488164,0.63,1.43
32.88837370901252,-96.73155250850796,0.96,1.31
32.88837370901252,-96.74940547213428,,
32.88837370901252,-96.7672584357606,1.0,1.39
32.88837370901252,-96.78511139938692,,
32.88837370901252,-96.80296436301326,,
32.88837370901252,-96.82081732663958,,
32.88837370901252,-96.83867029026592,0.92,0.99
32.88837370901252,-96.85652325389223,0.59,1.47
32.88837370901252,-96.87437621751856,0.68,1.41
32.88837370901252,-96.89222918114488,0.68,1.76
32.88837370901252,-96.9100821447712,,
32.88837370901252,-96.92793510839752,1.59,1.89
32.87483187341916,-96.4816110177394,1.05,2.82
32.87483187341916,-96.49946398136574,1.94,2.09
32.87483187341916,-96.51731694499206,1.73,2.92
32.87483187341916,-96.5351699086184,1.94,2.16
32.87483187341916,-96.55302287224472,1.46,2.18
32.87483187341916,-96.57087583587104,1.32,1.96
32.87483187341916,-96.69584658125532,0.89,1.36
32.87483187341916,-96.71369954488164,0.93,1.53
32.87483187341916,-96.73155250850796,1.69,1.76
32.87483187341916,-96.74940547213428,1.08,1.44
32.87483187341916,-96.7672584357606,,
32.87483187341916,-96.78511139938692,1.18,1.53
32.87483187341916,-96.80296436301326,0.75,0.84
32.87483187341916,-96.82081732663958,0.92,0.97
32.87483187341916,-96.83867029026592,0.87,1.77
32.87483187341916,-96.85652325389223,0.5,1.37
32.87483187341916,-96.87437621751856,0.64,1.38
32.87483187341916,-96.89222918114488,1.04,1.47
32.87483187341916,-96.9100821447712,1.4,1.97
32.87483187341916,-96.92793510839752,,
32.8612900378258,-96.49946398136574,2.45,2.91
32.8612900378258,-96.51731694499206,,
32.8612900378258,-96.5351699086184,2.23,2.8
32.8612900378258,-96.66014065400266,1.18,1.4
32.8612900378258,-96.677993617629,1.23,1.29
32.8612900378258,-96.69584658125532,0.52,1.79
32.8612900378258,-96.71369954488164,0.58,2.05
32.8612900378258,-96.73155250850796,1.39,1.6
32.8612900378258,-96.74940547213428,1.09,1.1
32.8612900378258,-96.7672584357606,,
32.8612900378258,-96.82081732663958,0.63,0.74
32.8612900378258,-96.83867029026592,1.4,1.55
32.8612900378258,-96.85652325389223,0.74,1.27
32.8612900378258,-96.87437621751856,0.38,1.13
32.8612900378258,-96.89222918114488,0.9,2.04
32.8612900378258,-96.9100821447712,1.02,1.91
32.847748202232445,-96.49946398136574,,
32.847748202232445,-96.51731694499206,,
32.847748202232445,-96.5351699086184,,
32.847748202232445,-96.64228769037634,1.44,1.44
32.847748202232445,-96.66014065400266,,
32.847748202232445,-96.677993617629,0.67,1.85
32.847748202232445,-96.69584658125532,1.15,1.22
32.847748202232445,-96.71369954488164,1.18,1.25
32.847748202232445,-96.73155250850796,0.88,1.9
32.847748202232445,-96.74940547213428,,
32.847748202232445,-96.7672584357606,1.21,1.42
32.847748202232445,-96.82081732663958,1.21,1.3
32.847748202232445,-96.83867029026592,0.85,1.22
32.847748202232445,-96.85652325389223,0.27,1.46
32.847748202232445,-96.87437621751856,0.9,1.28
32.847748202232445,-96.89222918114488,1.52,1.93
32.83420636663909,-96.51731694499206,,
32.83420636663909,-96.5351699086184,,
32.83420636663909,-96.55302287224472,1.27,2.6
32.83420636663909,-96.66014065400266,0.85,1.1
32.83420636663909,-96.677993617629,1.0,1.53
32.83420636663909,-96.69584658125532,0.5,1.85
32.83420636663909,-96.71369954488164,0.56,2.06
32.83420636663909,-96.73155250850796,1.17,1.59
32.83420636663909,-96.74940547213428,0.81,1.36
32.83420636663909,-96.7672584357606,1.18,1.44
32.83420636663909,-96.82081732663958,0.89,1.37
32.83420636663909,-96.83867029026592,0.19,1.66
32.83420636663909,-96.85652325389223,1.16,1.2
32.83420636663909,-96.87437621751856,1.35,1.45
32.82066453104573,-96.49946398136574,,
32.82066453104573,-96.51731694499206,,
32.82066453104573,-96.5351699086184,2.56,2.66
32.82066453104573,-96.677993617629,1.28,1.74
32.82066453104573,-96.69584658125532,0.92,0.96
32.82066453104573,-96.71369954488164,0.99,1.48
32.82066453104573,-96.73155250850796,1.78,1.79
32.82066453104573,-96.74940547213428,,
32.82066453104573,-96.7672584357606,0.37,0.9
32.82066453104573,-96.78511139938692,0.88,1.03
32.82066453104573,-96.80296436301326,0.05,0.83
32.82066453104573,-96.82081732663958,0.97,1.05
