Lat,Lng,"TOTAL LOSS","PERCENTAGE LOSS",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source,"ACS Economics/Number of households/Total/Value","ACS Economics/Number of households/Total/Margin of error","ACS Economics/Median household income/Total/Value","ACS Economics/Median household income/Total/Margin of error","ACS Economics/Household income/Less than $10,000/Value","ACS Economics/Household income/Less than $10,000/Margin of error","ACS Economics/Household income/Less than $10,000/Percentage","ACS Economics/Household income/$10,000 to $14,999/Value","ACS Economics/Household income/$10,000 to $14,999/Margin of error","ACS Economics/Household income/$10,000 to $14,999/Percentage","ACS Economics/Household income/$15,000 to $19,999/Value","ACS Economics/Household income/$15,000 to $19,999/Margin of error","ACS Economics/Household income/$15,000 to $19,999/Percentage","ACS Economics/Household income/$20,000 to $24,999/Value","ACS Economics/Household income/$20,000 to $24,999/Margin of error","ACS Economics/Household income/$20,000 to $24,999/Percentage","ACS Economics/Household income/$25,000 to $29,999/Value","ACS Economics/Household income/$25,000 to $29,999/Margin of error","ACS Economics/Household income/$25,000 to $29,999/Percentage","ACS Economics/Household income/$30,000 to $34,999/Value","ACS Economics/Household income/$30,000 to $34,999/Margin of error","ACS Economics/Household income/$30,000 to $34,999/Percentage","ACS Economics/Household income/$35,000 to $39,999/Value","ACS Economics/Household income/$35,000 to $39,999/Margin of error","ACS Economics/Household income/$35,000 to $39,999/Percentage","ACS Economics/Household income/$40,000 to $44,999/Value","ACS Economics/Household income/$40,000 to $44,999/Margin of error","ACS Economics/Household income/$40,000 to $44,999/Percentage","ACS Economics/Household income/$45,000 to $49,999/Value","ACS Economics/Household income/$45,000 to $49,999/Margin of error","ACS Economics/Household income/$45,000 to $49,999/Percentage","ACS Economics/Household income/$50,000 to $59,999/Value","ACS Economics/Household income/$50,000 to $59,999/Margin of error","ACS Economics/Household income/$50,000 to $59,999/Percentage","ACS Economics/Household income/$60,000 to $74,999/Value","ACS Economics/Household income/$60,000 to $74,999/Margin of error","ACS Economics/Household income/$60,000 to $74,999/Percentage","ACS Economics/Household income/$75,000 to $99,999/Value","ACS Economics/Household income/$75,000 to $99,999/Margin of error","ACS Economics/Household income/$75,000 to $99,999/Percentage","ACS Economics/Household income/$100,000 to $124,999/Value","ACS Economics/Household income/$100,000 to $124,999/Margin of error","ACS Economics/Household income/$100,000 to $124,999/Percentage","ACS Economics/Household income/$125,000 to $149,999/Value","ACS Economics/Household income/$125,000 to $149,999/Margin of error","ACS Economics/Household income/$125,000 to $149,999/Percentage","ACS Economics/Household income/$150,000 to $199,999/Value","ACS Economics/Household income/$150,000 to $199,999/Margin of error","ACS Economics/Household income/$150,000 to $199,999/Percentage","ACS Economics/Household income/$200,000 or more/Value","ACS Economics/Household income/$200,000 or more/Margin of error","ACS Economics/Household income/$200,000 or more/Percentage","Census Year","State FIPS","County FIPS","Place Name","Place FIPS","Census Tract Code","Census Block Code","Census Block Group","Full FIPS (block)","Full FIPS (tract)","Metro/Micro Statistical Area Name","Metro/Micro Statistical Area Code","Metro/Micro Statistical Area Type","Combined Statistical Area Name","Combined Statistical Area Code","Metropolitan Division Area Name","Metropolitan Division Area Code"
32.7533216,-96.8245886,80000,3.04,32.753222,-96.824525,1,rooftop,835,"N Zang Blvd",,,Dallas,TX,"Dallas County",75208,US,Dallas,294,91,26103,10126,24,36,0.082,5,9,0.017,23,36,0.078,80,71,0.272,34,43,0.116,11,18,0.037,22,35,0.075,25,41,0.085,46,40,0.156,8,13,0.027,0,14,0,16,19,0.054,0,14,0,0,14,0,0,14,0,0,14,0,2021,48,48113,Dallas,4819000,004201,2016,2,481130042012016,48113004201,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124
32.770471,-96.8329337,20000,0.92,32.770641,-96.834147,0.98,rooftop,660,"Ft Worth Ave",,,Dallas,TX,"Dallas County",75208,US,Dallas,799,112,63417,17436,5,8,0.006,13,13,0.016,5,9,0.006,13,14,0.016,20,32,0.025,62,49,0.078,31,33,0.039,43,42,0.054,50,32,0.063,145,63,0.181,65,36,0.081,150,66,0.188,104,54,0.13,14,22,0.018,51,41,0.064,28,30,0.035,2021,48,48113,Dallas,4819000,004300,1034,1,481130043001034,48113004300,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124
32.7850416,-96.845098,100,0.12,32.785057,-96.845109,1,rooftop,3509,"Rutz St",,,Dallas,TX,"Dallas County",75212,US,Dallas,574,122,31250,20214,133,91,0.232,9,14,0.016,0,14,0,57,54,0.099,64,64,0.111,58,54,0.101,0,14,0,0,14,0,32,58,0.056,104,86,0.181,80,62,0.139,12,17,0.021,0,14,0,0,14,0,0,14,0,25,25,0.044,2021,48,48113,Dallas,4819000,010101,1008,1,481130101011008,48113010101,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124
32.7199652,-96.774286,1100,0.01,32.720676,-96.774634,0.99,rooftop,2940,"King Cole Dr",,,Dallas,TX,"Dallas County",75216,US,Dallas,491,83,30604,6488,97,59,0.198,10,19,0.02,65,53,0.132,23,26,0.047,36,39,0.073,85,55,0.173,20,32,0.041,38,34,0.077,16,22,0.033,32,33,0.065,9,14,0.018,30,40,0.061,30,31,0.061,0,14,0,0,14,0,0,14,0,2021,48,48113,Dallas,4819000,008604,2000,2,481130086042000,48113008604,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124
32.7805512,-96.8777516,0,0,32.780464,-96.877726,1,rooftop,3518,"Pueblo St",,,Dallas,TX,"Dallas County",75212,US,Dallas,406,93,38986,9171,0,14,0,6,9,0.015,41,47,0.101,50,34,0.123,60,52,0.148,24,29,0.059,37,42,0.091,32,35,0.079,26,33,0.064,32,35,0.079,22,23,0.054,36,28,0.089,33,30,0.081,7,10,0.017,0,14,0,0,14,0,2021,48,48113,Dallas,4819000,010500,2022,2,481130105002022,48113010500,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124
32.8369595,-96.8740062,1100,0.02,32.837172,-96.873658,0.99,rooftop,1625,"Regal Row",,,Dallas,TX,"Dallas County",75235,US,Dallas,888,135,33075,10041,67,52,0.075,64,63,0.072,235,108,0.265,20,26,0.023,38,35,0.043,87,73,0.098,66,64,0.074,65,66,0.073,10,14,0.011,60,60,0.068,60,51,0.068,35,53,0.039,35,37,0.039,13,22,0.015,0,14,0,33,54,0.037,2021,48,48113,Dallas,4819000,010001,2009,2,481130100012009,48113010001,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124
32.780645,-96.8354508,1000,1,32.780662,-96.835455,1,rooftop,3202,"Sylvan Ave",,,Dallas,TX,"Dallas County",75212,US,Dallas,170,50,32917,9070,11,16,0.065,9,12,0.053,25,25,0.147,14,23,0.082,22,28,0.129,24,26,0.141,5,8,0.029,9,12,0.053,4,7,0.024,15,21,0.088,15,18,0.088,12,19,0.071,0,14,0,0,14,0,0,14,0,5,8,0.029,2021,48,48113,Dallas,4819000,010102,1021,1,481130101021021,48113010102,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124
32.7380103,-96.8071134,45000,58.1,32.737964,-96.807079,1,rooftop,1106,"Hendricks Ave",,,Dallas,TX,"Dallas County",75216,US,Dallas,308,112,40500,10963,43,43,0.14,18,20,0.058,11,19,0.036,29,46,0.094,0,14,0,34,41,0.11,9,16,0.029,73,67,0.237,0,14,0,33,46,0.107,53,61,0.172,0,14,0,5,11,0.016,0,14,0,0,14,0,0,14,0,2021,48,48113,Dallas,4819000,004900,3009,3,481130210003009,48113021000,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124
32.914552,-96.715995,9000,2.39,32.914608,-96.715948,1,rooftop,12219,"Creekspan Dr",,,Dallas,TX,"Dallas County",75243,US,Dallas,243,114,142526,58746,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,15,27,0.062,36,61,0.148,11,18,0.045,12,19,0.049,0,14,0,13,21,0.053,34,47,0.14,49,77,0.202,24,31,0.099,49,39,0.202,2021,48,48113,Dallas,4819000,019019,2004,2,481130190192004,48113019019,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124
32.7396016,-96.8439987,28000,20.68,32.73958,-96.843843,1,rooftop,622,"S Edgefield Ave",,,Dallas,TX,"Dallas County",75208,US,Dallas,454,76,49000,18562,21,26,0.046,0,14,0,44,39,0.097,27,29,0.059,24,27,0.053,45,34,0.099,22,28,0.048,35,38,0.077,15,22,0.033,22,16,0.048,62,41,0.137,49,29,0.108,0,14,0,42,37,0.093,40,28,0.088,6,9,0.013,2021,48,48113,Dallas,4819000,005100,1015,1,481130051001015,48113005100,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124
